step_id,recipe_id,step_number,step_text
88315,16188,1,フッ素樹脂加工のフライパンにAを入れて、弱火で香りが立つまで乾煎りします。
88316,16188,2,トマト缶を加えて中火にします。こげないように時々かき混ぜながら、水分が飛んでペースト状になるまで炒めます。
88317,16188,3,さば缶とBを加えます。時々混ぜながら、７〜８分ほど煮ます。
88318,16188,4,器にごはんを盛り、３をかけ、ブロッコリーを添えて完成です。
88820,16276,1,玉ねぎ、セロリ、にんじんは粗みじん切りにします。
88821,16276,2,フライパンにオリーブ油とAを入れて弱火にかけます。香りが立ったら玉ねぎ、セロリ、にんじんを加え、透き通るまで炒めます。
88822,16276,3,２種のひき肉を加えて全体がなじんだら、Ｂを加えて汁けがなくなるまで炒めます。
88824,16276,4,Cを加えてさっと炒めたら火を消します。
88823,16276,5,器に麦ご飯を盛り付け、４をかけてパセリを散らします。
88858,16290,1,長いもはすりおろし、長ねぎとしいたけはみじん切りにします。
88859,16290,2,ボウルに卵を割って溶きほぐし、長いもと塩を加えて合わせます。かに缶と長ねぎ、しいたけを加えて混ぜ合わせます。
88860,16290,3,フライパンにサラダ油を中火で熱し、２の卵液を流し入れ、弱火にして軽く混ぜ合わせます。
88861,16290,4,卵の縁がかたまってきたら裏返し、両面を焼いて火を通します。
88862,16290,5,４をまな板に取り出し、１人３枚になるよう放射状に切ります。
88863,16290,6,小鍋などにあんの材料を入れて混ぜ合わせ、弱火にかけます。混ぜながらとろみが付くまで加熱します。
88865,16290,7,器に5のかに玉を盛り、６の甘酢あんをかけます。
88878,16294,1,たくあんは7mm角に切ります。
88879,16294,2,もち麦入りご飯に、たくあんと、しらす、白ごまを加えて混ぜ合わせます。
88880,16294,3,1人2個になるように、おにぎりを握って完成です。
89136,16356,1,鶏肉は厚みを均一にし、フォークで数ヶ所穴を開けます。砂糖を揉み込み、10分ほどおきます。
89137,16356,2,もやしを耐熱容器に入れてふんわりとラップをかけ、電子レンジ（600ｗ）で２分ほど加熱します。ざるに広げて粗熱をとります。
89138,16356,3,耐熱容器に鶏肉を入れて酒を振り、長ねぎの青い部分、しょうがを入れてラップをふんわりとかけます。
89139,16356,4,電子レンジ（600ｗ）で３分加熱し、ラップをしたまま５分おいて予熱で火を通します。
89140,16356,5,たれの材料を混ぜ合わせます。
89141,16356,6,もやしは水けを絞って器にしき、食べやすい大きさに切った鶏肉を盛ります。たれをかけ、お好みでスプラウトをのせます。
90112,16565,1,玉ねぎは７mm角ほどに切ります。
90113,16565,2,氷水をあてて冷たくしたボウルに、豚ひき肉と下味用の調味料を入れて、粘りけがでるまでしっかりと練ります。
90115,16565,3,玉ねぎを加えてさらに練ります。１人６個付けになるように丸めてから、シュウマイの皮で包みます。
90116,16565,4,耐熱の器に芯を削いだキャベツをしいて、くっつかないよう間隔をあけて並べます。
92828,16565,5,ふんわりとラップをして、電子レンジ（600w）で５分加熱します。
90117,16565,6,シュウマイとキャベツを器に盛り、たれを付けていただきます。
90685,16567,1,煮汁の材料のしょうがは皮付きのままよく洗い、薄切りにします。にんにくは包丁の腹で潰します。
90140,16567,2,フッ素樹脂加工の鍋を中火で熱し、豚肉の表面をすべて焼きます。
90649,16567,3,鍋に豚肉と煮汁の材料を鍋に入れ、落とし蓋をして30分ほど弱火で煮ます。
90235,16567,4,長ねぎは長さ５cmに切り、中央まで縦に切り込みを入れます。芯の部分を除き、ごく細いせん切りにして５分ほど水にさらします。
90236,16567,5,煮豚は厚さ２〜３mmに切って器に盛り、煮汁は半量くらいに煮詰めます。煮汁をかけ、４の白髪ねぎを天盛りにします。
